Company,Website,Jobs,Capex_M,Location,County,State,Sector,Date,URL,Notes
Owens Corning Corporation Prattville,owenscorning.com,89,325.0,,,Alabama,Chemicals & Materials,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,New
Maximus Meats Summerdale,maximusmeats.com,38,16.8,,,Alabama,Food & Beverage,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,New
Butting USA Inc. Loxley,butting.com,110,61.7,,,Alabama,Infrastructure,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,New
Green Health Laboratories Foley,greenhealthlabs.com,50,3.5,,,Alabama,Life Sciences & Pharma,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,New
Wayne-Sanderson Farms Union Springs,sandersonfarms.com,,10.7,,,Alabama,Food & Beverage,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
Phoenix Building Solutions Greenville,,40,5.0,,,Alabama,Consumer Goods,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,New
Hwashin America Corporation Greenville,hwashin.co.kr,40,60.1,,,Alabama,Automotive & EV,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
Altex Packaging Inc. Anniston,altexpackaging.com,36,8.0,,,Alabama,Packaging,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
Interstate Sheet Metal Anniston,,27,2.1,,,Alabama,Advanced Manufacturing,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
AMZ Alabama Inc. Anniston,,50,22.0,,,Alabama,Aerospace & Defense,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
Amazon Oxford,amazon.com,70,15.0,,,Alabama,Logistics & Distribution,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,New
Kronospan Oxford,kronospan.com,,200.0,,,Alabama,Paper & Forest Products,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
Doncasters Oxford,,76,7.0,,,Alabama,Metals & Steel,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
Kobay Enstal Oxford,,70,12.0,,,Alabama,Automotive & EV,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
Bryant Machine Jacksonville,,12,3.2,,,Alabama,Advanced Manufacturing,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
Changer & Dresser Anniston,,18,3.5,,,Alabama,Advanced Manufacturing,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
JOON LLC (AJIN USA) Cusseta,,15,3.4,,,Alabama,Automotive & EV,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
Tree Brand Packaging Ranburne,,45,20.0,,,Alabama,Paper & Forest Products,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
Hello Chonky Cookie Enterprise,,20,10.0,,,Alabama,Food & Beverage,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,New
Constellium Muscle Shoals,constellium.com,48,68.8,,,Alabama,Metals & Steel,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
Sims Bark Florala,,40,8.0,,,Alabama,Paper & Forest Products,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,New
Aqua Technics (aka Aquatic Leisure) Opp,aquamembranes.com,19,3.1,,,Alabama,Consumer Goods,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,New
Tyson Garden City,tysonfoods.com,20,9.2,,,Alabama,Food & Beverage,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
Louisiana Pacific Cullman,ldc.com,10,19.6,,,Alabama,Consumer Goods,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
Corrugated Supplies Corporation Cullman,,25,21.5,,,Alabama,Packaging,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
Rusken Packaging Cullman,,15,25.6,,,Alabama,Packaging,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
SRM Concrete Cullman,,20,26.0,,,Alabama,Construction & Real Estate,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,New
North Alabama Fabricating Company Cullman,nafco.com,16,17.7,,,Alabama,Advanced Manufacturing,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
Cobra Metal Cullman,,10,0.5,,,Alabama,Advanced Manufacturing,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
RESRG Automotive Cullman,,30,8.0,,,Alabama,Automotive & EV,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
Sovereign American Industries LLC Rainsville,,38,2.8,,,Alabama,Advanced Manufacturing,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,New
Nucor Vulcraft Group Fort Payne,nucor.com,,18.9,,,Alabama,Advanced Manufacturing,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
Perdido River Farms/Poarch Band of Creek Indians Atmore,,,30.0,,,Alabama,Food & Beverage,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,New
SMD Steel Rainbow City,,80,9.0,,,Alabama,Advanced Manufacturing,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,New
Choice Fabricators Rainbow City,,30,15.0,,,Alabama,Advanced Manufacturing,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
Omaha Track Attalla,,10,0.5,,,Alabama,Infrastructure,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,New
Pilgrims Russellville,pilgrims.com,260,90.0,,,Alabama,Food & Beverage,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
Franklin Manufacturing Inc. Russellville,,24,6.7,,,Alabama,Advanced Manufacturing,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
G&G Steel Inc. Russellville,,28,5.4,,,Alabama,Advanced Manufacturing,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
Oldcastle Lawn & Garden Abbeville,,20,5.4,,,Alabama,Paper & Forest Products,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,New
Venture Milk LLC Cowarts,,23,5.7,,,Alabama,Food & Beverage,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,New
Qualico Webb,,20,10.0,,,Alabama,Metals & Steel,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
Advance Displays Inc. Scottsboro,advancedisplays.com,28,0.8,,,Alabama,Logistics & Distribution,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,New
Yamaha Motor Corporation USA Bridgeport,,4,39.0,,,Alabama,Infrastructure,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
U.S. Steel Corporation Fairfield,spacecom.mil,44,75.0,,,Alabama,Metals & Steel,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
Weelth Inc./TaxxWiz,,65,0.1,,,Alabama,Technology,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
Valicor Environmental Services Adamsville,,30,12.3,,,Alabama,Chemicals & Materials,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,New
Stinson Breads LLC Opelika,,29,1.3,,,Alabama,Food & Beverage,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,New
Oak Bowery Spirits LLC Opelika,,20,1.1,,,Alabama,Food & Beverage,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,New
SCA Inc.,,13,19.6,,,Alabama,Chemicals & Materials,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
Miele Manufacturing Inc. Opelika,,10,2.0,,,Alabama,Advanced Manufacturing,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
Briggs & Stratton LLC,briggsandstratton.com,35,8.2,,,Alabama,Advanced Manufacturing,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
HL Mando America Corporation Opelika,,15,5.2,,,Alabama,Automotive & EV,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
AGS America Inc. Opelika,agsamerica.com,70,3.6,,,Alabama,Automotive & EV,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
Korea Fuel Tech America Inc.,koreazinc.co.kr,17,4.0,,,Alabama,Automotive & EV,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
SEUNGWON USA Inc. Opelika,,20,32.5,,,Alabama,Packaging,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,New
Toyota Tsusho,toyota.com,,163.3,,,Alabama,Energy & Grid,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
Titomic USA Inc.,,60,30.0,,,Alabama,Advanced Manufacturing,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,New
Exalta (formally Intech/Turner Medical) Athens,,39,0.9,,,Alabama,Life Sciences & Pharma,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
Daikyo Nishikawa USA Inc.,,53,18.0,,,Alabama,Automotive & EV,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
TSA LLC Tuskegee,,30,3.0,,,Alabama,Automotive & EV,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,New
CPT America LLC Tuskegee,cpt.de,187,163.4,,,Alabama,Automotive & EV,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,New
Plasma Processes,plasmaprocesses.com,10,6.9,,,Alabama,Advanced Manufacturing,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
L3Harris Technologies,,40,20.0,,,Alabama,Aerospace & Defense,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
SEA Wire & Cable Madison,,57,4.8,,,Alabama,Logistics & Distribution,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
SES Inc.,,,17.0,,,Alabama,Aerospace & Defense,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
Hybird Space Systems,,20,0.7,,,Alabama,Aerospace & Defense,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,New
Cargill Guntersville,cargill.com,,40.0,,,Alabama,Food & Beverage,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
PrismFlex Guntersville,,25,2.2,,,Alabama,Advanced Manufacturing,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
Ace Aeronautics LLC Guntersville,aceaeronautics.com,189,4.2,,,Alabama,Aerospace & Defense,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
A&G Holdings LLC Arab,,12,1.2,,,Alabama,Logistics & Distribution,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
Evonik Theodore,evonik.com,,77.5,,,Alabama,Chemicals & Materials,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
Primo,,12,5.8,,,Alabama,Chemicals & Materials,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,New
ArcelorMittal Calvert,arcelormittal.com,205,1163.9,,,Alabama,Metals & Steel,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,New
SSAB Axis,ssab.com,12,75.0,,,Alabama,Metals & Steel,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
Master Boat Builders Inc. Coden,,85,7.8,,,Alabama,Consumer Goods,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
Gulf Distributing,,,11.5,,,Alabama,Food & Beverage,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
Derichebourg,,10,0.2,,,Alabama,Aerospace & Defense,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,New
APM Terminals,apmterminals.com,8,58.6,,,Alabama,Logistics & Distribution,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
Prism Systems,,52,6.4,,,Alabama,Technology,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
AAA USA,aaausa.com,100,1.4,,,Alabama,Financial Services,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
