company_name,website,state,sector,capex_millions,notes
Plug Power,plugpower.com,Georgia,,,95+ MW electrolyzer capacity delivered; 100MW Galp Portugal project; Georgia + Tennessee production
Rapidus,rapidus.inc,,,,Rapidus First 2nm Chips July 2025
Rehlko (Kohler Energy),rehlko.com,Wisconsin,,,Rebranded from Kohler Energy Sep 2024; Mosel WI site redesigned; expanding industrial generators; Mi
SPX Transformer Solutions,spxtransformersolutions.com,North Carolina,,,$70M Waukesha expansion; Goldsboro NC 50th anniversary; 1200+ US employees; 5-1200 MVA up to 345kV
Siemens Energy,siemens-energy.com,Mississippi,Grid/Energy,300,German; high-voltage switchgear; part of $1B US expansion - GRID
SkyWater Technology,skywatertechnology.com,,,,$16M CHIPS funding Dec 2024; acquiring Infineon Austin fab Feb 2025 for 65-130nm capacity; US-only t
Soulbrain,soulbrain.co.kr,Texas,,,$175M Taylor Texas plant for Samsung; high-purity phosphoric acid; construction Jan 2025
Suniva,suniva.com,Georgia,,,Georgia cell factory restarted Nov 2024 (1 GW); scaling to 2.5 GW; first US cell production restart
TSMC,https://tsmc.com,Arizona,Semiconductors,165000,Taiwanese; $165B total; 6 fabs planned
Tesla Energy,https://www.tesla.com/megapack,Texas,,,40 GWh Lathrop Megafactory; 10000th Megapack Nov 2024; $150M+ Texas expansion 2026; 31.4 GWh deploye
Fluence Energy,https://fluenceenergy.com/,Arizona,,,Arizona manufacturing open; Houston thermal; $700M US investment; 1200+ jobs; 2.2 GWh Excelsior deal
GE Vernova,https://www.gevernova.com/,South Carolina,Power/Grid,200,Power equipment; grid infrastructure; GRID!
Generac Power Systems,generac.com,Wisconsin,,,345K sqft Beaver Dam facility Jul 2025; Sussex WI C&I expansion Jan 2026; megawatt-scale data center
Graham Corp,https://grahamcorp.com,New York,,,30K sqft Navy manufacturing facility completed in Batavia NY
Heliene,heliene.com,Minnesota,,,Minnesota facility operational; Canadian + US manufacturing; Iron Range expansion
Hyosung Heavy Industries,hyosungheavyindustries.com,Tennessee,,,Hyosung HICO Memphis TN expanding Nov 2025 (2nd time in 6 months); doubling US output to 150 units/y
JA Solar,jasolar.com,Arizona,,,Phoenix AZ 2 GW module factory announced; targeting US domestic content
Joby Aviation,https://jobyaviation.com,Ohio,Aerospace/eVTOL,477,140 acres; up to 500 aircraft/year; Dayton Intl Airport
L3Harris,https://www.l3harris.com/,,,,$22M GAMMA-H scramjet + Zeus motor production increase to 60 units
Lam Research,lamresearch.com,Oregon,,,$65M Oregon Tualatin facility opened Nov 2025; 700 workers; R&D expansion for AI chips
Meyer Burger,meyerburger.com,Arizona,,,Arizona module plant operational; Colorado cell plant announced Q4 2024 start; 2 GW HJT cell capacit
Mitsubishi Power,power.mhi.com,Georgia,,,Savannah GA manufacturing; JAC turbine most efficient; Takasago Hydrogen Park verification; 4M+ oper
NVIDIA,nvidia.com,,,,$374M Santa Clara campus purchase 2024; 324K sqft new facility May 2025; $4.5T market cap
Nextracker,nextracker.com,,,,28.5 GW shipped 2024; 100 GW cumulative milestone; US manufacturing; 35 GW annual capacity across 6
ON Semiconductor,onsemi.com,,,,SiC fab expansion South Korea completed; US CHIPS funding for SiC epitaxial expansion
Orbit Fab,https://orbitfab.com,,,,$28.5M Series A; expanding manufacturing; 3 launches for US government 2025; UK £2M investment
Prolec GE,prolec.energy,North Carolina,,,$140M North Carolina facility 2025 doubling capacity; acquired SPX Waukesha; 144K sqft NC plant
Redwood Materials,https://redwoodmaterials.com,South Carolina,,,Redwood Materials Breaks Ground on South Carolina Campus
RobCo,https://www.robco.de/,,,,$100M Series C + US expansion (SF HQ + Austin manufacturing)
STMicroelectronics,st.com,,,,Catania Italy SiC campus with 200mm fab; EUR730M investment; reshaping EU manufacturing footprint
Silfab Solar,silfabsolar.com,South Carolina,,,Burlington WA + Fort Mill SC facilities; 1.3 GW combined capacity; North American focused
SolarEdge Technologies,solaredge.com,Florida,,,Texas inverters + Florida optimizers + Utah batteries; 8M optimizers/quarter capacity; domestic cont
Substrate,substrate.com,,,,$100M seed from Founders Fund + In-Q-Tel; building X-ray lithography equipment; US manufacturing
TMEIC,tmeic.com,Texas,,,9 GW Texas solar inverter factory opened Nov 2024; 144K sqft Westport facility; 300+ inverters by Fe
TerraPower,terrapower.com,Wyoming,,,Wyoming Natrium plant under construction; state permit approved Jan 2025; training center Aug 2025;
Corning Optical Communications,corning.com,North Carolina,Tech/Fiber,170,Trivium Cable Plant
Texas Instruments,https://ti.com,Utah,Semiconductors,11000,300mm fab next to existing Micron-acquired facility
Tower Semiconductor,towersemi.com,New Mexico,,,Intel New Mexico partnership; ST Italy joint facility qualified Q4 2024; $300M investment in Intel f
Umbra,https://umbra.space,California,,,"New 50,000 sq ft Southern California manufacturing facility (June 2025); new Space Systems business"
Verdagy,verdagy.com,,,,Advanced Water Electrolysis technology; IRA-driven US focus; production ramp 2024
Vulcan Elements,https://vulcanelements.com/,North Carolina,Advanced Mfg/Defense,918,Rare earth magnets; largest magnet factory outside China
Wolfspeed,wolfspeed.com,New York,,,World's largest SiC fab in Siler City NC (topped out Mar 2024); Marcy NY expansion; CHIPS preliminar
X-FAB,xfab.com,Texas,,,$50M CHIPS funding Dec 2024; only high-volume SiC foundry in USA; Lubbock TX expansion
Tokyo Electron,tel.com,,,,$170M US chip equipment facility 2025; aiming for US production parity with Japan
Trina Solar (T1 Energy),trinasolar.com,Texas,,,$200M 5 GW Texas module plant opened; expansion in 2025; rebranded T1 Energy for US ops
Ursa Major,https://ursamajor.com,Ohio,,,$14.5M R&D center in Youngstown OH (July 2024); $138M Series D; $25M DoD joint investment
Virginia Transformer Corp,vatransformer.com,Georgia,,,Largest US-owned transformer maker; 6 facilities (Roanoke + Troutville VA + Rincon GA + Pocatello ID
WEG Transformers USA,weg.us,Missouri,,,$77M 5th NA factory expansion Sept 2025; 3 Missouri facilities; acquired CG Power USA; wind/solar fo
X-Bow Systems,https://www.xbowsystems.com/,Texas,,,DoD contract expansion + Texas campus expansion
X-energy,x-energy.com,Texas,,,Oak Ridge TRISO fuel facility construction Nov 2025; Dow Seadrift TX 4-unit plant; operations 2027
KettenWulf,kettenwulf.com,Alabama,Advanced Mfg,34,German; conveyor chains/sprockets; 100 year old company
Bad Boy Mowers,badboycountry.com,Alabama,Advanced Mfg,10.5,Tractor assembly; 9000/year production
Southwire,southwire.com,Alabama,Grid/Wire,176,Wire/cable manufacturer; medium voltage - GRID
Aquatic Leisure Technologies,aquatechs.com,Alabama,Advanced Mfg,,Australian; fiberglass pools; first US facility
SmartWiz,smartwiz.com,Alabama,Tech/AI,0.125,AI tax software; IRS-approved provider
ArcelorMittal,arcelormittal.com,Alabama,Steel/Metals,1200,Luxembourg; electrical steel for EVs/energy - GRID adjacent
Diageo,diageo.com,Alabama,Food & Bev,415,UK; Smirnoff/Captain Morgan production hub
Wellborn Cabinet,wellborn.com,Alabama,Advanced Mfg,,New cabinet plant opening
Owens Corning,owenscorning.com,Alabama,Advanced Mfg,,Shingle manufacturing
Fratco,fratco.com,Alabama,Advanced Mfg,,Pipe manufacturing
U.S. Space Command,spacecom.mil,Alabama,Defense/Aerospace,,Federal HQ; massive job impact
Northrop Grumman,https://northropgrumman.com,Alabama,Defense/Aerospace,92,Missile defense systems; two expansions
Performance Drone Works,performancedroneworks.com,Alabama,Defense/Aerospace,9.1,Drone manufacturing
Core Scientific,corescientific.com,Alabama,Data Center,424,Multi-tenant data center
Samkwang,samkwang.co.kr,Alabama,Automotive,35,Korean; injection-molded automotive parts
CPT America,cptgroup.com,Alabama,Automotive,163,Steel-stamping automotive parts
International Paper,internationalpaper.com,Alabama,Paper/Pulp,260,Renewable fiber-based products expansion
GE Aerospace,https://www.geaerospace.com/,Ohio,Aerospace,127,R&D; RISE program; engineering jobs
Georgia Pacific/Alabama River Cellulose,gp.com,Alabama,Paper/Pulp,800,Major expansion
Meta/Dotier,meta.com,Alabama,Data Center,800,Data storage facility
Kronospan,kronospan.com,Alabama,Wood Products,200,Engineered wood products
Pilgrims,pilgrims.com,Alabama,Food/Poultry,90,Poultry processing expansion
DAS North America,das-na.com,Alabama,Automotive,78,Korean; automotive supplier
Evonik,evonik.com,Alabama,Chemicals,78,German; specialty chemicals
U.S. Steel,ussteel.com,Alabama,Steel/Metals,75,Steel making and processing
SSAB,ssab.com,Alabama,Steel,75,Swedish; steel
Constellium,constellium.com,Alabama,Aluminum,69,French; recycled aluminum
Butting USA,butting.com,Alabama,Pipe,62,German; pipe manufacturing
Hwashin America,hwashin.co.kr,Alabama,Automotive,60,Korean; stamped automotive parts
Envision Cold Storage,envisioncold.com,Alabama,Logistics/Cold Chain,64,Cold storage facility
Parsons Corporation,parsons.com,Alabama,Defense/Tech,5,Intelligence services
Ace Aeronautics,aceaero.com,Alabama,Aerospace/MRO,4.25,MRO rotorcraft
Kimberly-Clark,kimberly-clark.com,Alabama,Paper/Consumer,137,Paper manufacturing
Jasper Lumber,jasperlumber.com,Alabama,Wood/Forestry,95,Lumber expansion
Alabama State Port Authority,asdd.com,Alabama,Logistics/Port,94,Inland port facility
Owens Corning Corporation Prattville,owenscorning.com,Alabama,Asphalt Shingle and Coating Materials Ma,325,New
Maximus Meats Summerdale,maximusmeats.com,Alabama,Meat Processing and Distribution,16.8,New
Butting USA Inc. Loxley,butting.com,Alabama,Pipe Manufacturing,61.7,New
Green Health Laboratories Foley,greenhealthlabs.com,Alabama,Testing Laboratories and Services,3.5,New
Wayne-Sanderson Farms Union Springs,sandersonfarms.com,Alabama,Poultry Processing,10.7,Expansion
Phoenix Building Solutions Greenville,phoenixbuildingsolutions.com,Alabama,Park Model Manufacturer,5,New
Hwashin America Corporation Greenville,hwashin.co.kr,Alabama,Stamped Automotive Car Parts,60.1,Expansion
Altex Packaging Inc. Anniston,altexpackaging.com,Alabama,Packaging - Wood and Plastic/Foam,8,Expansion
Interstate Sheet Metal Anniston,meta.com,Alabama,Sheet Metal Work Manufacturing,2.1,Expansion
AMZ Alabama Inc. Anniston,rheinmetall.com,Alabama,Armored Vehicle Manufacturing,22,Expansion
Amazon Oxford,amazon.com,Alabama,Distribution and Delivery,15,New
Kronospan Oxford,kronospan.com,Alabama,Engineered Wood Products,200,Expansion
Doncasters Oxford,ford.com,Alabama,Investment Castings,7,Expansion
Kobay Enstal Oxford,ford.com,Alabama,Automotive Metal Stamping,12,Expansion
Bryant Machine Jacksonville,bryantmachine.com,Alabama,Machine Shop,3.2,Expansion
Changer & Dresser Anniston,changerdresser.com,Alabama,Welding and Soldering Equipment Manufact,3.5,Expansion
JOON LLC (AJIN USA) Cusseta,ajinusa.com,Alabama,Automotive Stamping,3.4,Expansion
Tree Brand Packaging Ranburne,treebrand.com,Alabama,Wood Pallet Manufacturer,20,Expansion
Hello Chonky Cookie Enterprise,hellochonkycookie.com,Alabama,Cookie Manufacturing,10,New
Constellium Muscle Shoals,constellium.com,Alabama,Recycled Aluminum Products,68.8,Expansion
Sims Bark Florala,simsbark.com,Alabama,Mulch Manufacturing,8,New
Aqua Technics (aka Aquatic Leisure) Opp,aquatechs.com,Alabama,Fiberglass Swimming Pool Manufacturer,3.1,New
Tyson Garden City,tysonfoods.com,Alabama,Poultry Processing,9.2,Expansion
Louisiana Pacific Cullman,lpcorp.com,Alabama,OBS Board Manufacturer,19.6,Expansion
Corrugated Supplies Corporation Cullman,corrubox.com,Alabama,Corrugated Packaging,21.5,Expansion
Rusken Packaging Cullman,rusken.com,Alabama,Corrugated Packaging,25.6,Expansion
SRM Concrete Cullman,srmconcrete.com,Alabama,Ready-Mix Concrete Manufacturing,26,New
North Alabama Fabricating Company Cullman,nafco.com,Alabama,Structural Metal,17.7,Expansion
Cobra Metal Cullman,meta.com,Alabama,Metal Fabrication and Precision Machinin,0.5,Expansion
RESRG Automotive Cullman,resrgautomotive.com,Alabama,Plastic Injected Automotive Parts,8,Expansion
Sovereign American Industries LLC Rainsville,sovereignamerican.com,Alabama,Industrial Sewing,2.8,New
Nucor Vulcraft Group Fort Payne,vulcraft.com,Alabama,Fabricated Structural Metal Manufacturin,18.9,Expansion
Perdido River Farms/Poarch Band of Creek Indians Atmore,pfrfarms.com,Alabama,Meat Processing,30,New
SMD Steel Rainbow City,smdsteel.com,Alabama,Plate Work Manufacturing,9,New
Choice Fabricators Rainbow City,choicefab.com,Alabama,Fabricated Metal Product Manufacturing,15,Expansion
Omaha Track Attalla,omahatrack.com,Alabama,Rail Tie Disposal,0.5,New
Pilgrims Russellville,pilgrims.com,Alabama,Poultry Processing,90,Expansion
Franklin Manufacturing Inc. Russellville,franklinmfg.com,Alabama,Fabricated Structural Metal Manufacturin,6.7,Expansion
G&G Steel Inc. Russellville,ggsteel.com,Alabama,Fabricated Structural Metal Manufacturin,5.4,Expansion
Oldcastle Lawn & Garden Abbeville,abb.com,Alabama,Wood Mulch,5.4,New
Venture Milk LLC Cowarts,venturemilk.com,Alabama,Milk Processing and Yogurt Processing,5.7,New
Qualico Webb,qualico.us,Alabama,Steel Fabrication,10,Expansion
Advance Displays Inc. Scottsboro,advancedisplays.com,Alabama,Wholesale Distribution Hub,0.8,New
Yamaha Motor Corporation USA Bridgeport,yamahamotorsports.com,Alabama,Marine Test and Development Facility,39,Expansion
U.S. Steel Corporation Fairfield,ussteel.com,Alabama,Steel Making and Processing,75,Expansion
Weelth Inc./TaxxWiz,weelth.com,Alabama,Tax Prep Software Development,0.1,Expansion
Valicor Environmental Services Adamsville,valicor.com,Alabama,Sustainable Solutions for Waste Manageme,12.3,New
Stinson Breads LLC Opelika,stinsonbreads.com,Alabama,Manufacturing Fresh and Frozen Bread,1.3,New
Oak Bowery Spirits LLC Opelika,oakboweryspirits.com,Alabama,Distillery,1.1,New
SCA Inc.,essity.com,Alabama,Plastics Product Manufacturing,19.6,Expansion
Miele Manufacturing Inc. Opelika,miele.com,Alabama,"Cooking Appliances, Ovens and Range Cook",2,Expansion
Briggs & Stratton LLC,briggsandstratton.com,Alabama,Gasoline Engines,8.2,Expansion
HL Mando America Corporation Opelika,hlmando.com,Alabama,Automotive - Supplier,5.2,Expansion
AGS America Inc. Opelika,ags-america.com,Alabama,Motor Vehicle Parts Manufacturing,3.6,Expansion
Korea Fuel Tech America Inc.,kftec.co.kr,Alabama,Plastic Fuel Tanks,4,Expansion
SEUNGWON USA Inc. Opelika,seungwon.co.kr,Alabama,Specialized Packaging Solutions,32.5,New
Toyota Tsusho,toyota-tsusho.com,Alabama,Solar Power Generation,163.3,Expansion
Titomic USA Inc.,titomic.com,Alabama,Titanium Additive Coatings,30,New
Exalta (formally Intech/Turner Medical) Athens,exalta.com,Alabama,Medical Devices,0.9,Expansion
Daikyo Nishikawa USA Inc.,daikyonishikawa.co.jp,Alabama,Automotive Parts Manufacturing,18,Expansion
TSA LLC Tuskegee,tsallc.com,Alabama,Specialty Automotive Fabricator,3,New
CPT America LLC Tuskegee,cptgroup.com,Alabama,Steel-Stamping Automotive Parts Manufact,163.4,New
Plasma Processes,plasmapros.com,Alabama,Advanced Materials and Metal Coatings,6.9,Expansion
L3Harris Technologies,l3harris.com,Alabama,Rocket Engine Manufacturing,20,Expansion
SEA Wire & Cable Madison,sea-wire.com,Alabama,Wire and Cable Distributor,4.8,Expansion
SES Inc.,ses.com,Alabama,Aircraft Integration,17,Expansion
Hybird Space Systems,hybirdspace.com,Alabama,Rocket Engine Manufacturing,0.7,New
Cargill Guntersville,cargill.com,Alabama,Soybean Processing,40,Expansion
PrismFlex Guntersville,prismflex.com,Alabama,Industrial Printing,2.2,Expansion
Ace Aeronautics LLC Guntersville,aceaero.com,Alabama,MRO Rotorcraft,4.2,Expansion
A&G Holdings LLC Arab,agholdings.com,Alabama,Warehouse/Distribution,1.2,Expansion
Evonik Theodore,evonik.com,Alabama,Methyl Mercaptan Production,77.5,Expansion
Primo,primogrill.com,Alabama,Plastic Extrusion,5.8,New
ArcelorMittal Calvert,arcelormittal.com,Alabama,Non-Grain Oriented Steel,1163.9,New
SSAB Axis,ssab.com,Alabama,Steel Manufacturer,75,Expansion
Master Boat Builders Inc. Coden,masterboatbuilders.com,Alabama,Boat Manufacturers,7.8,Expansion
Gulf Distributing,gulfdist.com,Alabama,Beverage Distribution,11.5,Expansion
Derichebourg,derichebourg.com,Alabama,Aerospace Staffing,0.2,New
APM Terminals,apmterminals.com,Alabama,Container Terminal,58.6,Expansion
Prism Systems,prismsystems.com,Alabama,Software Engineering Firm,6.4,Expansion
AAA USA,aaa-usa.com,Alabama,Corporate HQ/Insurance Companies,1.4,Expansion
Alabama River Cellulose (Georgia Pacific) Monroeville,gp.com,Alabama,Paper Product Manufacturing - Pulp Mill,800,Expansion
Bad Boy Mowers Monroeville,badboycountry.com,Alabama,Mowers and Tractors,10.5,New
Webster Fulfillment Monroeville,websterfulfillment.com,Alabama,General Warehousing and Storage,2,New
Lightsource BP,lightsourcebp.com,Alabama,Solar Power Generation,21.5,Expansion
SoGo Packaging LLC,sogopackaging.com,Alabama,Syrup and Bottled Fruit Juices,12.4,Expansion
Browder Veneer Works Inc.,browderveneer.com,Alabama,Hardwood Veneer,1.5,Expansion
Ju-Young Manufacturing America Inc.,juyoung.co.kr,Alabama,Seat Harness and Levers,15.7,Expansion
Lear Corporation,lear.com,Alabama,Automobile Seats,10.9,Expansion
Guyoungtech USA Inc.,guyoungtech.com,Alabama,Automobile Body Parts,34,Expansion
Hartzell Engine Technologies,hartzell.aero,Alabama,Aircraft and Engine Components,0.3,Expansion
CIRG Industries,cirgindustries.com,Alabama,Just in Time Sequencing,14.3,Expansion
Dotier LLC (Meta),meta.com,Alabama,Data Storage and Distribution,800,Expansion
Alfa Insurance,alfainsurance.com,Alabama,Corporate HQ/Insurance Companies,58,Expansion
J.M. Smucker Co.,jmsmucker.com,Alabama,Manufactures Cat Food,28,Expansion
OCI Alabama LLC,oci-global.com,Alabama,Sodium Percarbonate,19.1,Expansion
Daikin America,daikincomfort.com,Alabama,Fluoropolymers,29,Expansion
Wolverine Industries,wolverineindustries.com,Alabama,Integrated Aluminum Manufacturing,20.4,Expansion
M&J Industries,mjind.com,Alabama,Machine Shop,9.6,Expansion
Pro-Fab Machine of Hartselle Hartselle,profabmachine.com,Alabama,Machine Shop/Fabricated Metal Products,13.5,Expansion
Cima Solutions LLC Phenix City,cimasolutions.com,Alabama,Rubber Mats,4.8,New
NVH Georgia LLC Phenix City,nvhgeorgia.com,Alabama,Automotive Floor Mats,14.7,New
Johns Manville Phenix City,jm.com,Alabama,Rockwool Insulation,28.2,Expansion
Logan Machine Works Phenix City,loganmachineworks.com,Alabama,Metal Fabrication,1.1,Expansion
Edgar's Old Style Bakery Pelham,edgarsbakery.com,Alabama,Commercial Bakery,13.2,Expansion
Specification Rubber Pelham,specrubber.com,Alabama,Rubber Product Manufacturing,16.1,Expansion
Buckner Trailers Springville,bucknertrailers.com,Alabama,Truck Trailer Manufacturing,1.5,Expansion
The Distribution Point LLC Moody,thedistributionpoint.com,Alabama,Plumbing Distribution,3.5,Expansion
Prystup Packaging Products Livingston,prystup.com,Alabama,Folding Paperboard Box,4.4,Expansion
JW Holdings Dadeville,jwholdings.com,Alabama,Painting Auto Parts,21.8,New
Southern Ionics Incorporated,southernionics.com,Alabama,Sodium Bisulfite,34.1,Expansion
Microchip Technology Inc.,microchip.com,Alabama,Semiconductor and Related Device Manufac,5,Expansion
Tosyali International Ltd.,tosyali.com.tr,Alabama,Jewelry Manufacturing,20.9,Expansion
Mercedes-Benz USA LLC Vance,mercedes-benz.com,Alabama,Auto Merchant Wholesaler,26.7,Expansion
Nat 20 Scientific LLC Buhl,nat20scientific.com,Alabama,Scientific Research and Development Serv,0.5,New
Jasper Lumber Company LLC Jasper,jasperlumber.com,Alabama,Saw Mill,95,Expansion
Jones Machine & Welding Oakman,jonesmachinewelding.com,Alabama,"Production, Welding, Warehouse",2.5,Expansion
Cooper Marine Inc. Calvert,coopermarine.com,Alabama,Barge Transportation,2,Expansion
J.M. Smucker Co. Decatur Morgan,jmsmucker.com,Alabama,Manufactures Cat Food,28,Expansion
Eli Lilly Huntsville Limestone,lilly.com,Alabama,Pharmaceutical Preparation Manufacturing,6000,New
AAA USA Mobile,aaa-usa.com,Alabama,Corporate HQ/Insurance Companies,1.4,Expansion
Alfa Insurance Montgomery,alfainsurance.com,Alabama,Corporate HQ/Insurance Companies,58,Expansion
Primo Mobile,primogrill.com,Alabama,Plastic Extrusion,5.8,New
Daikin America Decatur Morgan,daikin.com,Alabama,Fluoropolymers,29,Expansion
Nelson Brothers LLC Parrish Walker,nelsonbros.com,Alabama,Specialty Chemicals and Commercial Explo,19.4,Expansion
OCI Alabama LLC Decatur Morgan,oci-global.com,Alabama,Sodium Percarbonate,19.1,Expansion
SCA Inc. Auburn Lee,essity.com,Alabama,Plastics Product Manufacturing,19.6,Expansion
Amazon Oxford Calhoun,amazon.com,Alabama,Distribution and Delivery,15,New
APM Terminals Mobile,apmterminals.com,Alabama,Container Terminal,58.6,Expansion
CIRG Industries Montgomery,cirgindustries.com,Alabama,Just in Time Sequencing,14.3,Expansion
Titomic USA Inc. Huntsville Limestone,titomic.com,Alabama,Titanium Additive Coatings,30,New
M&J Industries Decatur Morgan,mjind.com,Alabama,Machine Shop,9.6,Expansion
Qualico Webb Houston,qualico.us,Alabama,Steel Fabrication,10,Expansion
Derichebourg Mobile,derichebourg.com,Alabama,Aerospace Staffing,0.2,New
GE Aerospace Auburn Lee,geaerospace.com,Alabama,Aerospace Product and Parts Manufacturin,35.3,Expansion
GE Aerospace Huntsville Limestone,geaerospace.com,Alabama,Carbon Composites,22,Expansion
SES Inc. Huntsville Madison,ses.com,Alabama,Aircraft Integration,17,Expansion
TSA LLC Tuskegee Macon,tsallc.com,Alabama,Specialty Automotive Fabricator,3,New
Kimberly-Clark Mobile,kimberly-clark.com,Alabama,Paper Manufacturing,136.7,Expansion
Lightsource BP Montgomery,lightsourcebp.com,Alabama,Solar Power Generation,21.5,Expansion
Toyota Tsusho Huntsville Limestone,toyota-tsusho.com,Alabama,Solar Power Generation,163.3,Expansion
Core Scientific Auburn Lee,corescientific.com,Alabama,Multi - Tenant Data Center,424,New
SmartWiz Birmingham Jefferson,smartwiz.com,Alabama,Tax Software Technology Company,0.1,New
Dotier LLC (Meta) Montgomery,meta.com,Alabama,Data Storage and Distribution,800,Expansion
Prism Systems Mobile,prismsystems.com,Alabama,Software Engineering Firm,6.4,Expansion
Hadrian,hadrian.co,Arizona,Aerospace/AI Mfg,200,AI-powered factories; Factory 3; 290K sq ft
