company_name,website,industry,segment,sub_segment,signal_code,signal_score,signal_date,signal_text,source_url,messaging_hook
Capsida Biotherapeutics,https://capsida.com,Life Sciences,Gene Therapy,Pharma,OEM_PARTNER,7,2023-05,"Fully integrated end-to-end including GMP manufacturing; partnered with CRISPR Therapeutics and AbbVie",https://capsida.com/science-innovation/,"Claims industry's only fully integrated gene therapy solution including manufacturing"
Encoded Therapeutics,https://encoded.com,Life Sciences,Gene Therapy,Pharma,REGULATORY_MILESTONE,7,2024-01,"GMP manufacturing facility in RTP NC; ETX101 for Dravet syndrome has RMAT designation",https://encoded.com/in-the-code/right-sized-in-rtp-building-out-encodeds-manufacturing-ecosystem/,"Built in-house RTP facility; if ETX101 succeeds, capacity decisions ahead"
Tune Therapeutics,https://tunetx.com,Life Sciences,Gene Therapy,Epigenetic,FUNDING_LADDER,6,2025-01,"$175M Series B (Jan 2025); TEMPO epigenetic editing platform; LNP delivery (not AAV)",https://www.fiercebiotech.com/biotech/epigenetic-biotech-raises-bumper-round-tune-175m-fund-first-hbv-trials,"Different modality (LNP + mRNA); well-capitalized; manufacturing model TBD"
Jaguar Gene Therapy,https://jaguargenetherapy.com,Life Sciences,Gene Therapy,Pharma,INVESTMENT_PLAN_ANNOUNCED,8,2025-12,"$125M 200-job manufacturing facility in RTP NC; JAG201 for autism/Phelan-McDermid",https://www.ncbiotech.org/news/jaguar-gene-therapy-build-1254-m-200-job-manufacturing-site-rtp,"ACTIVE EXPANSION - building new manufacturing facility in RTP NC; strong signal"
StrideBio,https://stridebio.com,Life Sciences,Gene Therapy,Capsid,OEM_PARTNER,6,2021-03,"In-house manufacturing at 1000L in RTP; STRIVE capsid platform; partnered with CRISPR Tx, Takeda, Sarepta",https://www.prnewswire.com/news-releases/stridebio-announces-closing-of-81-5m-series-b-financing-301247395.html,"Has in-house manufacturing; platform company with big pharma partners"
Krystal Biotech,https://krystalbio.com,Life Sciences,Gene Therapy,HSV,PRODUCT_SUCCESS,7,2023-05,"Vyjuvek approved; built second 100K sq ft ASTRA facility; HSV-1 vector platform",https://ir.krystalbio.com/news-releases/news-release-details/krystal-biotech-breaks-ground-second-commercial-gene-therapy,"Already expanded (ASTRA complete 2022); commercial success = potential further expansion"
Forge Biologics,https://forgebiologics.com,Life Sciences,Gene Therapy,CDMO,INVESTMENT_PLAN_ANNOUNCED,7,2023-01,"CDMO building 200K+ sq ft 'The Hearth' facility; manufacturing for multiple clients",https://www.forgebiologics.com/,"CDMO = they ARE the expansion; serving Affinia, Solid Bio, others"
Andelyn Biosciences,https://andelynbio.com,Life Sciences,Gene Therapy,CDMO,SERIAL_EXPANDER,6,2024-01,"Gene therapy CDMO spinout from Nationwide Children's; multiple facility locations",https://www.andelynbio.com/,"CDMO = expansion play; recently partnered with Jaguar, Purespring"
Viralgen,https://viralgen.com,Life Sciences,Gene Therapy,CDMO,INVESTMENT_PLAN_ANNOUNCED,6,2023-01,"Spain-based AAV CDMO; 7 single-use suites; cGMP certified for commercial production",https://www.prnewswire.com/news-releases/viralgen-receives-cgmp-certification-to-produce-raav-commercial-grade-product-at-new-facility-in-san-sebastian-spain-301716069.html,"Allied nation CDMO expansion play; serving European + US clients"
Iovance Biotherapeutics,https://iovance.com,Life Sciences,Cell Therapy,TIL,REGULATORY_MILESTONE,7,2024-02,"AMTAGVI (lifileucel) approved Feb 2024 for melanoma; 136K sq ft Cell Therapy Center in Philadelphia - among largest in existence",https://www.iovance.com/iovance-cell-therapy-center/,"Approved TIL therapy with massive in-house facility; commercial success = capacity planning"
Legend Biotech,https://legendbiotech.com,Life Sciences,Cell Therapy,CAR-T,INVESTMENT_PLAN_ANNOUNCED,8,2022-10,"CARVYKTI approved for myeloma; $500M investment with J&J in Raritan NJ; doubling capacity",https://www.fiercepharma.com/manufacturing/legend-jj-double-down-car-t-manufacturing-500m-carvykti-eyes-wider-myeloma-use,"Massive expansion underway with J&J partnership; CARVYKTI competing with Abecma"
Allogene Therapeutics,https://allogene.com,Life Sciences,Cell Therapy,Allogeneic CAR-T,INVESTMENT_PLAN_ANNOUNCED,7,2019-02,"118K sq ft Cell Forge 1 facility in Newark CA; allogeneic (off-the-shelf) CAR-T - one production run = 100+ patients",https://ir.allogene.com/news-releases/news-release-details/allogene-therapeutics-enters-lease-build-manufacturing-facility/,"Allogeneic model = scalable manufacturing; if programs succeed, could need additional facilities"
Fate Therapeutics,https://fatetherapeutics.com,Life Sciences,Cell Therapy,iPSC,INVESTMENT_PLAN_ANNOUNCED,6,2019-09,"In-house cGMP facility for iPSC-derived off-the-shelf cell therapies; NK cells and T cells from master iPSC lines",https://ir.fatetherapeutics.com/news-releases/news-release-details/fate-therapeutics-announces-opening-its-cgmp-manufacturing,"iPSC = renewable cell source; scalable manufacturing model; if programs advance, capacity decisions"
Immatics,https://immatics.com,Life Sciences,Cell Therapy,TCR-T,US_ENTITY_FORMATION,7,2025-10,"German company with 100K sq ft US manufacturing facility in Houston; TCR-T for solid tumors",https://immatics.com/manufacturing/,"Allied nation with major US manufacturing footprint; solid tumor focus differentiates from CAR-T crowd"
Atara Biotherapeutics,https://atarabio.com,Life Sciences,Cell Therapy,Allogeneic,INVESTMENT_PLAN_ANNOUNCED,6,2021-01,"Building $55M 90K sq ft CAR-T manufacturing facility in Thousand Oaks; allogeneic EBV-specific T cells",https://bioinformant.com/car-t-companies-the-meteoric-rise-of-cellular-immunotherapies/,"Building dedicated facility; tab-cel in Phase 3 for EBV+ PTLD"
