Company,Website,Jobs,Capex_M,Location,County,State,Sector,Date,URL,Notes,FDI_Origin
Sims Bark Florala,,40,8.0,,,Alabama,Paper & Forest Products,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,New,
Aqua Technics (aka Aquatic Leisure) Opp,aquatictechnologies.com,50,15,Opp,Covington,Alabama,Consumer Goods,2025,https://www.madeinalabama.com/2025/11/aquatic-leisure-technologies-to-launch-first-u-s-manufacturing-facility-in-opp/,Australian; first US fiberglass pool manufacturing; production starting 2026,Australia
Tyson Garden City,tysonfoods.com,20,9.2,,,Alabama,Food & Beverage,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion,
Louisiana Pacific Cullman,ldc.com,10,19.6,,,Alabama,Consumer Goods,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion,
Corrugated Supplies Corporation Cullman,,25,21.5,,,Alabama,Packaging,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion,
Rusken Packaging Cullman,rusken.com,15,25.6,,,Alabama,Packaging,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion,
North Alabama Fabricating Company Cullman,nafco.com,16,17.7,,,Alabama,Advanced Manufacturing,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion,
Cobra Metal Cullman,,10,0.5,,,Alabama,Advanced Manufacturing,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion,
RESRG Automotive Cullman,,30,8.0,,,Alabama,Automotive & EV,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion,
Sovereign American Industries LLC Rainsville,,38,2.8,,,Alabama,Advanced Manufacturing,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,New,
Nucor Vulcraft Group Fort Payne,nucor.com,50,18.9,,,Alabama,Advanced Manufacturing,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion,
Perdido River Farms/Poarch Band of Creek Indians Atmore,perdidoriverfarms.com,100,30.0,,,Alabama,Food & Beverage,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,New,
SMD Steel Rainbow City,,80,9.0,,,Alabama,Advanced Manufacturing,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,New,
Choice Fabricators Rainbow City,,30,15.0,,,Alabama,Advanced Manufacturing,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion,
Omaha Track Attalla,,10,0.5,,,Alabama,Infrastructure,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,New,
Pilgrims Russellville,pilgrims.com,260,90.0,,,Alabama,Food & Beverage,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion,
Franklin Manufacturing Inc. Russellville,,24,6.7,,,Alabama,Advanced Manufacturing,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion,
G&G Steel Inc. Russellville,,28,5.4,,,Alabama,Advanced Manufacturing,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion,
Oldcastle Lawn & Garden Abbeville,,20,5.4,,,Alabama,Paper & Forest Products,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,New,Switzerland
Venture Milk LLC Cowarts,,23,5.7,,,Alabama,Food & Beverage,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,New,
Qualico Webb,,20,10.0,,,Alabama,Metals & Steel,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion,
Advance Displays Inc. Scottsboro,advancedisplays.com,28,0.8,,,Alabama,Logistics & Distribution,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,New,
Yamaha Motor Corporation USA Bridgeport,yamaha-motor.com,4,39.0,,,Alabama,Infrastructure,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion,
U.S. Steel Corporation Fairfield,spacecom.mil,44,75.0,,,Alabama,Metals & Steel,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion,
Weelth Inc./TaxxWiz,,65,0.1,,,Alabama,Technology,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion,
Valicor Environmental Services Adamsville,,30,12.3,,,Alabama,Chemicals & Materials,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,New,
Stinson Breads LLC Opelika,,29,1.3,,,Alabama,Food & Beverage,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,New,
Oak Bowery Spirits LLC Opelika,,20,1.1,,,Alabama,Food & Beverage,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,New,
SCA Inc.,,13,19.6,,,Alabama,Chemicals & Materials,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion,
Miele Manufacturing Inc. Opelika,,10,2.0,,,Alabama,Advanced Manufacturing,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion,
Briggs & Stratton LLC,briggsandstratton.com,35,8.2,,,Alabama,Advanced Manufacturing,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion,
HL Mando America Corporation Opelika,,15,5.2,,,Alabama,Automotive & EV,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion,
AGS America Inc. Opelika,agsamerica.com,70,3.6,,,Alabama,Automotive & EV,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion,
Korea Fuel Tech America Inc.,koreazinc.co.kr,17,4.0,,,Alabama,Automotive & EV,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion,
SEUNGWON USA Inc. Opelika,seungwon.co.kr,20,32.5,,,Alabama,Packaging,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,New,
Toyota Tsusho,toyota.com,150,163.3,,Limestone,Alabama,Energy & Grid,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion,Japan
Titomic USA Inc.,titomic.com,60,30.0,,,Alabama,Advanced Manufacturing,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,New,
Exalta (formally Intech/Turner Medical) Athens,,39,0.9,,,Alabama,Life Sciences & Pharma,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion,
Daikyo Nishikawa USA Inc.,,53,18.0,,,Alabama,Automotive & EV,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion,
TSA LLC Tuskegee,,30,3.0,,,Alabama,Automotive & EV,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,New,
CPT America LLC Tuskegee,cpt.de,187,163.4,,Macon,Alabama,Automotive & EV,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,New,
Plasma Processes,plasmaprocesses.com,10,6.9,,,Alabama,Advanced Manufacturing,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion,
L3Harris Technologies,,40,20.0,,,Alabama,Aerospace & Defense,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion,
SEA Wire & Cable Madison,,57,4.8,,,Alabama,Logistics & Distribution,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion,
SES Inc.,,75,17.0,,,Alabama,Aerospace & Defense,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion,
Hybird Space Systems,,20,0.7,,,Alabama,Aerospace & Defense,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,New,
Cargill Guntersville,cargill.com,50,40.0,,,Alabama,Food & Beverage,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion,
PrismFlex Guntersville,,25,2.2,,,Alabama,Advanced Manufacturing,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion,
Ace Aeronautics LLC Guntersville,aceaeronautics.com,189,4.2,,,Alabama,Aerospace & Defense,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion,
A&G Holdings LLC Arab,,12,1.2,,,Alabama,Logistics & Distribution,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion,
Evonik Theodore,evonik.com,100,177,Theodore,Mobile,Alabama,Chemicals & Materials,2025,https://www.madeinalabama.com/2022/02/evonik-plans-to-invest-176-5-million-in-alabama-expansion-project/,German; specialty chemicals DL-methionine expansion; 750 existing employees; sustainability focus,Germany
Primo,,12,5.8,,,Alabama,Chemicals & Materials,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,New,
ArcelorMittal Calvert,arcelormittal.com,205,1163.9,,Mobile,Alabama,Metals & Steel,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,New,
SSAB Axis,ssab.com,12,75.0,,,Alabama,Metals & Steel,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion,Sweden
Master Boat Builders Inc. Coden,,85,7.8,,,Alabama,Consumer Goods,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion,
Gulf Distributing,,50,11.5,,,Alabama,Food & Beverage,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion,
Derichebourg,,10,0.2,,,Alabama,Aerospace & Defense,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,New,
APM Terminals,apmterminals.com,8,58.6,,,Alabama,Logistics & Distribution,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion,
Prism Systems,,52,6.4,,,Alabama,Technology,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion,
