"company_name","website","industry","Enrich Company","Name","Website","Employee Count","Size","Description","Industry","Url","Type","Country","Founded","Locality","Address - Locations","Last Refresh","Follower Count"
"KLA","kla.com","Semiconductors","KLA","KLA","http://www.kla.com",16219,"10,001+ employees","KLA develops industry-leading equipment and services that enable innovation throughout the electronics industry. We provide advanced process control and process-enabling solutions for manufacturing wafers and reticles, integrated circuits, packaging and printed circuit boards. In close collaboration with leading customers across the globe, our expert teams of physicists, engineers, data scientists and problem-solvers design solutions that move the world forward.

Visit us at: www.kla.com

Statements made on LinkedIn may constitute forward-looking statements under federal securities laws.  These forward-looking statements involve risks and uncertainties that could significantly affect the expected results and are based on certain key assumptions. Due to such uncertainties and risks, no assurances can be given that such expectations will prove to have been correct, and readers are cautioned not to place undue reliance on such forward-looking statements, which speak only as of the date indicated. Other risks that KLA faces include those detailed in KLA filings with the Securities and Exchange Commission, including KLA's annual report on Form 10-K and quarterly reports on Form 10-Q.  Forward-looking statements made by third parties do not necessarily reflect the opinion of KLA, are outside of KLA’s control and have not been verified or otherwise vetted by KLA.","Semiconductor Manufacturing","https://www.linkedin.com/company/klacorp","Public Company","US",,"Milpitas, California","3 Technology Dr, Milpitas, California 95035, US","2026-02-03T12:32:45.857Z",465091
"Axcelis Technologies","axcelis.com","Semiconductors","Axcelis Technologies","Axcelis Technologies","http://www.axcelis.com",1406,"1,001-5,000 employees","Axcelis Technologies, Inc. is a world-leading provider of equipment and services to the semiconductor manufacturing industry. For over forty five years, chipmakers from around the globe have relied on Axcelis' tools and process expertise to form the transistors that power all electronics - from smartphones and laptops, cameras, personal music players and more.

Our equipment portfolio comprises a powerful suite of manufacturing technologies for ion implantation, one of the most critical steps in the IC manufacturing process. In addition, we provide extensive aftermarket service and support, including spare parts, equipment upgrades, maintenance services, and customer training. Our customers include all of the 20 largest semiconductor manufacturers in the world. More than 3000 of our products are in use worldwide.

At our Advanced Technology Center in Beverly, Mass., we collaborate with customers and other industry experts to develop next-generation applications and process capabilities. We support our customers with a worldwide network of 38 field offices in 10 countries.

In all that we do, our strategy is singular: align every Axcelis innovation and success with our customers' goals. We strive to understand the entirety of their challenges and stand ready to deliver the technology, service and support they need to succeed.","Semiconductor Manufacturing","https://www.linkedin.com/company/axcelis-technologies","Public Company","US","1978","Beverly, MA","108 Cherry Hill Drive, Beverly, MA 01915, US","2026-01-15T11:23:21.694Z",13208
"Onto Innovation","ontoinnovation.com","Semiconductors","Onto Innovation","Onto Innovation","http://www.ontoinnovation.com",1214,"1,001-5,000 employees","Onto Innovation is a leader in process control, combining global scale with an expanded portfolio of leading-edge technologies that include: Un-patterned wafer quality; 3D metrology spanning chip features from nanometer scale transistors to large die interconnects; macro defect inspection of wafers and packages; metal interconnect composition; factory analytics; and lithography for advanced semiconductor packaging. Our breadth of offerings across the entire semiconductor value chain helps our customers solve their most difficult yield, device performance, quality, and reliability issues. Onto Innovation strives to optimize customers’ critical path of progress by making them smarter, faster and more efficient. Headquartered in Wilmington, Massachusetts, Onto Innovation supports customers with a worldwide sales and service organization. We are traded on the New York Stock Exchange under the symbol ONTO.","Semiconductor Manufacturing","https://www.linkedin.com/company/onto-innovation","Public Company","US","2019","Wilmington, Massachusetts","16 Jonspin Rd, Wilmington, Massachusetts 01887, US","2025-12-15T04:02:25.867Z",20534
"Entegris","entegris.com","Semiconductors","Entegris","Entegris","http://www.entegris.com",6475,"5,001-10,000 employees","Artificial intelligence, augmented reality, Internet of Things – these are not just trends, they are drivers changing the way people live across the globe.  With these new drivers and the increasing speed of innovation, there comes an expectation for higher-quality, higher-performing technologies at a faster pace.  
 
Every day, and for more than 50 years, Entegris’ singular mission has been to help customers utilize our advanced science-based solutions to support demand drivers; to innovate faster and more efficiently; and ultimately to transform the world. Through the power of our solutions and technology expertise, Entegris provides customers with innovative, science-based solutions to their toughest technology challenges.
 
Headquartered in Billerica, Massachusetts, Entegris employs approximately 8,000 people worldwide, with roughly half employed in Asia-Pacific or Europe.
 
With research and development, customer service, analytical labs, and manufacturing in Asia-Pacific, North America and Europe, Entegris supports customers around the globe as they take technology to the next level.","Semiconductor Manufacturing","https://www.linkedin.com/company/entegris","Public Company","US",,"Billerica, MA","129 Concord Road, Billerica, MA 01821, US","2026-02-03T13:49:28.819Z",131303
"Shin-Etsu Chemical","shinetsu.com","Semiconductors","❌ Company Not Found",,,,,,,,,,,,,,
"Air Products","airproducts.com","Semiconductors","Air Products","Air Products","http://www.airproducts.com",15919,"10,001+ employees","Air Products (NYSE:APD) is a leading industrial gases company serving >250,000 customers across 50 countries.","Chemical Manufacturing","https://www.linkedin.com/company/air-products","Public Company","US","1940","Allentown, Pennsylvania","1940 Air Products Blvd, Allentown, Pennsylvania 18106, US","2026-02-03T15:23:43.074Z",537737
"Linde","linde.com","Semiconductors","Linde","Linde","http://www.linde.com",39708,"10,001+ employees","Linde is a leading global industrial gases and engineering company with 2024 sales of $33 billion. We live our mission of making our world more productive every day by providing high-quality solutions, technologies and services which are making our customers more successful and helping to sustain, decarbonize and protect our planet.

The company serves a variety of end markets such as chemicals & energy, food & beverage, electronics, healthcare, manufacturing, metals and mining. Linde's industrial gases and technologies are used in countless applications including production of clean hydrogen and carbon capture systems critical to the energy transition, life-saving medical oxygen and high-purity & specialty gases for electronics. Linde also delivers state-of-the-art gas processing solutions to support customer expansion, efficiency improvements and emissions reductions.

For more information about the company and its products and services, please visit www.linde.com.

Visit our careers website www.lindecareers.com to take the next steps in your career with us.

Legal Notice:  https://www.linde.com/en/imprint

Data Protection: https://dataprotection.linde.com/en/index.html","Chemical Manufacturing","https://www.linkedin.com/company/linde","Public Company","GB",,"Woking, England","43 Church Street West, Forge, Woking, England GU21 6HT, GB","2026-02-03T16:47:12.919Z",599042
"CMC Materials (Entegris)","cmcmaterials.com","Semiconductors","Entegris","Entegris","http://www.entegris.com",6475,"5,001-10,000 employees","Artificial intelligence, augmented reality, Internet of Things – these are not just trends, they are drivers changing the way people live across the globe.  With these new drivers and the increasing speed of innovation, there comes an expectation for higher-quality, higher-performing technologies at a faster pace.  
 
Every day, and for more than 50 years, Entegris’ singular mission has been to help customers utilize our advanced science-based solutions to support demand drivers; to innovate faster and more efficiently; and ultimately to transform the world. Through the power of our solutions and technology expertise, Entegris provides customers with innovative, science-based solutions to their toughest technology challenges.
 
Headquartered in Billerica, Massachusetts, Entegris employs approximately 8,000 people worldwide, with roughly half employed in Asia-Pacific or Europe.
 
With research and development, customer service, analytical labs, and manufacturing in Asia-Pacific, North America and Europe, Entegris supports customers around the globe as they take technology to the next level.","Semiconductor Manufacturing","https://www.linkedin.com/company/entegris","Public Company","US",,"Billerica, MA","129 Concord Road, Billerica, MA 01821, US","2026-02-03T13:49:28.819Z",131303
"Amkor Technology","amkor.com","Semiconductors","Amkor Technology, Inc.","Amkor Technology, Inc.","https://amkor.com",8000,"10,001+ employees","Amkor Technology, Inc. (Nasdaq: AMKR) is the world’s largest U.S.-headquartered OSAT and is a global leader in outsourced semiconductor packaging and test services. With a strong track record of innovation, a broad and diverse geographic footprint and solid partnerships with lead customers, Amkor delivers high-quality solutions that enable the world’s leading semiconductor and electronics companies to bring advanced technologies to market. The company’s comprehensive portfolio includes advanced packaging, wafer-level processing, and system-in-package solutions targeting applications for smartphones, data centers, artificial intelligence, automobiles and wearables.","Semiconductor Manufacturing","https://www.linkedin.com/company/amkor-technology","Public Company","US","1968","Tempe, Arizona","2045 East Innovation Circle, Tempe, Arizona 85284, US","2026-01-30T05:40:53.814Z",86716
"ASE Technology","aseglobal.com","Semiconductors","ASE Global","ASE Global","https://www.aseglobal.com",5749,"10,001+ employees","ASE (Advanced Semiconductor Engineering, Inc), a member of ASE Technology Holdings (NYSE:ASX) is one of the world's largest providers of outsourced semiconductor manufacturing services in assembly and test (OSAT), and, a leading provider of electronic manufacturing services (EMS) through its sister company, USI.  Addressing global proliferation of sophisticated electronics geared towards improving lifestyle and efficiency, ASE is strategically integrating synergies between its well established OSAT and EMS business units. ASE is at the forefront of a new class of EMS that delivers modularized, miniaturized ICs with system-level precision to enable high-performance and highly integrated devices. As a result, ASE is truly bridging the gap between silicon and system makers.

From traditional semiconductor players to players innovating applications within IoT, wearables, automotive, AR/VR, connectivity and many more, success within an increasingly dynamic market hinges on creating and sustaining highly productive manufacturing partnerships.  ASE has proven ability to collaborate closely with customers, to understand markets and create value propositions, and to deliver advanced packaging and SiP solutions to meet growth momentum across a broad range of end markets. 

Manufacturing facilities are strategically located within key electronics manufacturing hubs, including Taiwan, China, Korea, Japan, Malaysia, and Singapore. 

Serving customers across the global electronics ecosystem, regional sales offices are located in Sunnyvale (USA), Brussels (Europe), Hsinchu (Taiwan), Shanghai/Beijing (China), Shenzhen (China), Yokohama (Japan), Gyeonggi-do (Korea) and Singapore.

For more, please visit: aseglobal.com. 

Also, please follow ASE on Twitter: @aseglobal.","Semiconductor Manufacturing","https://www.linkedin.com/company/aseglobal","Public Company","TW",,"Kaohsiung, Taiwan","No. 26, Chin 3rd Road, Nantze Export Processing Zone, Kaohsiung, Taiwan, TW","2026-02-03T13:36:57.740Z",109514
"Kulicke & Soffa","kns.com","Semiconductors","Kulicke & Soffa","Kulicke & Soffa","https://www.kns.com",1876,"1,001-5,000 employees","Kulicke & Soffa is a global leader in semiconductor assembly technology, advancing device performance across automotive, compute, industrial, memory and communications markets. Founded on innovation in 1951, K&S is uniquely positioned to overcome increasingly dynamic process challenges – creating and delivering long-term value by aligning technology with opportunity.","Semiconductor Manufacturing","https://www.linkedin.com/company/kulickesoffa","Public Company","SG","1951","Singapore","23A Serangoon North Avenue 5, K&S Corporate Headquarters, Singapore, 554369, SG","2026-01-30T06:23:04.117Z",102146
"SkyWater Technology","skywatertechnology.com","Semiconductors","SkyWater Technology","SkyWater Technology","https://www.skywatertechnology.com",677,"501-1,000 employees","SkyWater (NASDAQ: SKYT) is a U.S.-based semiconductor manufacturer and a DMEA-accredited Category 1A Trusted Supplier. SkyWater’s Technology as a Service model streamlines the path to production for customers with development services, volume production and heterogeneous integration solutions in its U.S. facilities. This pioneering model enables innovators to co-create the next wave of technology within diverse categories including mixed-signal CMOS, ROICs, rad-hard ICs, MEMS, superconducting ICs, photonics and advanced packaging. SkyWater serves the growing markets of aerospace & defense, automotive, biomedical, industrial and quantum computing.","Semiconductor Manufacturing","https://www.linkedin.com/company/skywater-technology-foundry","Public Company","US","2017","Bloomington, MN","2401 East 86th Street, Bloomington, MN 55425, US","2026-02-03T16:48:39.367Z",21262
"Polar Semiconductor","polarsemi.com","Semiconductors","Polar Semiconductor","Polar Semiconductor","https://polarsemi.com/",434,"501-1,000 employees","Located in Bloomington, Minnesota, Polar Semiconductor, LLC has decades of experience in high-performance, automotive-grade semiconductor manufacturing.  We operate more than 310,000 square-foot facility that includes 160,000 square-feet of cleanroom space.  We specialize in 200mm wafer fabrication on proprietary semiconductor technologies with most destined for use in robust automotive, commercial and industrial applications.  With investments in new clean room space, state of the art equipment, and advanced silicon technologies, Polar continues to enhance its manufacturing competitiveness.","Semiconductor Manufacturing","https://www.linkedin.com/company/polar-semiconductor","Privately Held","US","1962","Bloomington, MN","2800 East Old Shakopee Road, Bloomington, MN 55425, US","2026-01-30T05:51:09.643Z",15905
"X-FAB","xfab.com","Semiconductors","X-FAB","X-FAB","https://www.xfab.com",1585,"1,001-5,000 employees","As the world's leading foundry group for analog/mixed-signal semiconductor applications, X-FAB creates a clear alternative to typical foundry services by combining solid, specialized expertise in advanced analog and mixed-signal process technologies with excellent service, a high level of responsiveness and first-class technical support. X-FAB manufactures wafers for automotive, industrial, consumer, medical, and other applications on modular CMOS and BiCMOS processes in geometries ranging from 1.0 to 0.13 µm, and special BCD, SOI and MEMS long-lifetime processes.

With its six manufacturing sites in Germany, France, Malaysia and the USA, X-FAB has a combined capacity of ~100,000 eight inch equivalent wafer starts per month and employs about 4,500 employees worldwide.

Imprint / Impressum

X-FAB Silicon Foundries SE
Transportstraat 1
B-3980 Tessenderlo-Ham, Belgium

Phone: +32 1361 3627
Email: info(at)xfab.com
Data Privacy: https://www.xfab.com/privacy-statement/

VAT Identification Number: BTW BE 0882.390.885","Semiconductors","https://www.linkedin.com/company/x-fab","Public Company","DE","1992","Erfurt, Thuringia","Haarbergstr. 67, Erfurt, Thuringia 99097, DE","2026-01-07T17:12:53.351Z",37209
"Coherent (II-VI)","coherent.com","Semiconductors","Coherent Corp.","Coherent Corp.","http://www.coherent.com",7053,"10,001+ employees","Coherent empowers market innovators to define the future through breakthrough technologies, from materials to systems. We deliver innovations that resonate with our customers in diversified applications for the industrial, communications, electronics, and instrumentation markets. Headquartered in Saxonburg, Coherent has research and development, manufacturing, sales, service, and distribution facilities worldwide. For more information, please visit us at coherent.com.","Semiconductor Manufacturing","https://www.linkedin.com/company/coherent-corp","Public Company","US",,"Saxonburg, PA","375 Saxonburg Blvd, Saxonburg, PA 16056, US","2026-01-30T05:41:04.739Z",136762
"Infineon Technologies","infineon.com","Semiconductors","Infineon Technologies","Infineon Technologies","https://www.infineon.com",43163,"10,001+ employees","Semiconductors are crucial to solve the energy challenges of our time and shape the digital transformation. This is why Infineon is committed to actively driving decarbonization and digitalization. As a global semiconductor leader in power systems and IoT, we enable game-changing solutions for green and efficient energy, clean and safe mobility, as well as smart and secure IoT. We make life easier, safer, and greener. Together with our customers and partners. For a better tomorrow.

Together, with more than 58,000 people from over 100 countries, we are not just shaping the future. We are redefining it. We engineer innovative products, while caring for our people and empowering them to reach ambitious goals. We offer work-life balance, long term growth and a supportive environment where individuality is celebrated. 

#WeAreIn for driving decarbonization and digitalization. Are you in?","Semiconductor Manufacturing","https://www.linkedin.com/company/infineon-technologies","Public Company","DE",,"Neubiberg, München","Am Campeon 1-12, Neubiberg, München, 85579, DE","2026-02-03T16:37:30.369Z",924894
"STMicroelectronics","st.com","Semiconductors","STMicroelectronics","STMicroelectronics","https://www.st.com?src=linkedin",34890,"10,001+ employees","ST is a global semiconductor leader delivering intelligent and energy-efficient products and solutions that power the electronics at the heart of everyday life. ST’s products are found everywhere today, and together with our customers, we are enabling smarter driving and smarter factories, cities and homes, along with the next generation of mobile and Internet of Things devices. By getting more from technology to get more from life, ST stands for life.augmented.","Semiconductor Manufacturing","https://www.linkedin.com/company/stmicroelectronics","Public Company","CH","1987","Geneva, Switzerland","39, Chemin du Champ des Filles, C. P. 21, Geneva, Switzerland CH 1228 Plan-Les-Ouates, CH","2026-02-03T16:14:46.827Z",890765
"ESMC (TSMC/Bosch/Infineon/NXP)","esmc.eu","Semiconductors","ESMC","ESMC","https://www.esmc.eu/en/index.html",73,"11-50 employees","The European Semiconductor Manufacturing Company (ESMC) is a leading semiconductor firm dedicated to the development and manufacturing of innovative, energy-efficient technologies for both the European and global industries. As part of the TSMC network and with a state-of-the-art facility in Dresden, Germany, ESMC is committed to creating a sustainable and resilient supply chain that enhances European semiconductor production while driving technological innovation.

Our mission is to contribute to our customers' value creation and to bolster Europe's technological sovereignty through sustainable innovation and reliable quality. We aim to create approximately 2,000 direct high-tech jobs at our Dresden location by the end of 2027 through our strategic investments.

To achieve this, we prioritize the wellbeing of our employees by fostering an inclusive environment that inspires passion and brings out the best in everyone. Our competitive total rewards scheme acknowledges employee contributions and supports their personal career development. Once you join our team, you can look forward to collaborating with top talents while enjoying a comprehensive compensation and benefits package. This includes company pension plans, incentives & events, car/travel allowances, company laptops, and mobile phones. 

Together, we are shaping the future of technology!","Semiconductor Manufacturing","https://www.linkedin.com/company/esmc-dresden","Privately Held","DE",,"Dresden","Rosenstraße 32, Dresden, 01067, DE","2026-01-09T21:49:23.703Z",22510
"SCREEN Semiconductor Solutions","screen.co.jp","Semiconductors","SCREEN Holdings Co., Ltd.","SCREEN Holdings Co., Ltd.","https://www.screen.co.jp/en",74,"5,001-10,000 employees","The SCREEN Group consists of a holding company, SCREEN Holdings Co., Ltd., and five business operating companies: SCREEN Semiconductor Solutions Co., Ltd., SCREEN Graphic Solutions Co., Ltd., SCREEN Fintech Solutions Co., Ltd., SCREEN PE Solutions Co., Ltd., and SCREEN Advanced System Solutions Co., Ltd. – specializing in semiconductor production equipment, graphic arts equipment, display production equipment, printed circuit board (PCB)-related equipment, and IT solutions, respectively.","Semiconductor Manufacturing","https://www.linkedin.com/company/screen-holdings","Public Company","JP",,"京都市上京区, 京都府","堀川通寺之内上る四丁目天神北町１−１, 京都市上京区, 京都府 602-8585, JP","2026-01-30T06:13:47.273Z",1265
